id,neumonic,name,format,opcode,funct3,funct7,parts,part1,part2,part3
0,add,ADD,R,0b0110011,0b000,0b0000000,3,0,0,0
1,sub,SUB,R,0b0110011,0b000,0b0100000,3,0,0,0
2,xor,XOR,R,0b0110011,0b100,0b0000000,3,0,0,0
3,or,OR,R,0b0110011,0b110,0b0000000,3,0,0,0
4,and,AND,R,0b0110011,0b111,0b0000000,3,0,0,0
5,sll,Shift Left Logical,R,0b0110011,0b001,0b0000000,3,0,0,0
6,srl,Shift Right Logical,R,0b0110011,0b101,0b0000000,3,0,0,0
7,sra,Shift Right Arithmetic,R,0b0110011,0b101,0b0100000,3,0,0,0
8,slt,Set Less than,R,0b0110011,0b010,0b0000000,3,0,0,0
9,addi,ADD Immediate,I,0b0010011,0b000,,3,0,0,1
10,ori,OR Immediate,I,0b0010011,0b110,,3,0,0,1
11,andi,AND Immediate,I,0b0010011,0b111,,3,0,0,1
12,lb,Load Byte,I,0b0000011,0b000,,3,0,1,0
13,lh,Load Halfword,I,0b0000011,0b001,,3,0,1,0
14,lw,Load Word,I,0b0000011,0b010,,3,0,1,0
15,sb,Store Byte,S,0b0100011,0b000,,3,0,1,0
16,sh,Store Halfword,S,0b0100011,0b001,,3,0,1,0
17,sw,Store Word,S,0b0100011,0b010,,3,0,1,0
18,beq,Branch if equal,SB,0b1100011,0b000,,3,0,0,1
19,bne,Branch if not equal,SB,0b1100011,0b001,,3,0,0,1
20,blt,Branch if less than,SB,0b1100011,0b100,,3,0,0,1
21,bge,Branch if greater than equal to,SB,0b1100011,0b101,,3,0,0,1
22,jal,Jump and Link,UJ,0b1101111,,,2,0,1,-1
23,jalr,Jump and Link Register,I,0b1100111,0b000,,3,0,0,1
24,lui,Load Upper Immediate,U,0b0110111,,,2,0,1,-1
25,auipc,Add Upper Immediate to PC,U,0b0010111,,,2,0,1,-1
26,mul,Multiplication,R,0b0110011,0b000,0b0000001,3,0,0,0
27,div,Division,R,0b0110011,0b100,0b0000001,3,0,0,0
28,rem,Remainder,R,0b0110011,0b110,0b0000001,3,0,0,0
